index,class,message
0,0,Hey you! yea you! are you new? do you want easy cash and xp? then you better get ya butt over to /pwarp newplayers. what are ya waiting for? you're only getting broker by not! also buying daily keys 1m per
1,1,how the hell did u get that good ass complement
2,0,ban me for world domination republicov
3,0,republivov ban me for world domination
4,0,republicov ban me for world domination
5,0,cuz i suck at potting lol
6,0,[[BONEMEAL STICK] x 1] kinda sucks
7,0,bruh rep the kit dragon sucks
8,0,everyone gets 50 coins it sucks
9,0,why does my armor suck
10,0,[[BONEMEAL STICK] x 1] sucks
11,0,younguys suck i just want to look around
12,0,my internet sucks i cant even open a chest
13,1,my internet sucks as f rn
14,0,i had a claim butt now its not mine
15,0,totem sucks cuz u will lose 100k multiple times a day
16,0,my palm tree sucks lol
17,0,you suck sylas you dont got solar rank
18,0,you can't break em they will go poof
19,0,ah okay - makes sense - i found one and it went poof
20,0,selling dantdm mincrft hardcore world house
21,0,"selling dantdm mincrft hardcore world house only for 50,000"
22,0,"selling dantdm mincrft hardcore world house only for 30,00"
23,0,"selling dantdm mincrft hardcore world house only for 30,000"
24,0,ive seen milk left outside for weeks that smells better than your unwashed momma lovin butt
25,0,hey tranzquil can you escort me to the lake
26,0,bro i suck at pvp he hired the worsr guy possible
27,0,how want to purchase dantdm mincraft hardcore world floating castl
28,0,how want to purchase dantdm mincraft hardcore world floating castl only for 40k
29,1,mf got his panties in a twist and wont let me walk in pvp lmao
30,0,kiwi painting suck buy some mapart?
31,1,hes showing his butt on me.
32,1,Im acculy xraying stupid ass staff test me
33,0,man this sucks... how long does it take for purchases to get resolved
34,0,is this a hardcore server?
35,1,i have a male orgasm bro step back
36,0,i have a ss of reester saying he sucks boogers
37,0,anyone wanna suck my toes for 5k?
38,0,not done srry if it sucks
39,0,i suck at building doe
40,0,Parktheboss8 sorry they didnt know and FireChima54 just sucks so they needed to steal the kill
41,1,Trying to kill ur ass
42,1,"Hi, can yall B1tches hurry up!"
43,1,whos dumb ass idea was it to have these crazy names in chat
44,0,sucks that he gets none
45,0,my base sucks and im alone
46,0,Idc about ranks they suck cant even give money only permision
47,0,Ranks sucks It only give permisions not Money
48,0,hate that my wifi sucks so bad ;-;
49,0,Ghoste if your wifi sucks my wifi super sucks to
50,0,just know i suck ahh
51,0,i barely have 1 mill i suck at minecraft pvp
52,0,you guys don't know what it means to suck
53,0,sucks to get killed by a 16 yr old ik
54,0,Septiva - the llama spawner went poof
55,0,i was gonna join back bc the ppl in my other friend parties suck so
56,0,i sucks now so show me ur best'
57,0,i have the mod hardcore darkness
58,0,"first to /msg me ""Furries suck"" gets early access to mememart season 3"
59,0,this armor sucks so hard lmfao
60,0,wait what you want xx
61,0,hmm i mean yeah butt nvm haha i buy at 55k :/ sorry
62,0,lunar if you give me key ill suck ur toes
63,0,i did not find any gold i suck at mining im more of a builder
64,0,im suck can some one help me
65,0,Vote keys dont suck you just have bad luck with them
