,class,text
0,1,shit - test
1,0,i made a skyshop
2,1,I like the pussy
3,0,Sex
4,1,u stole my shit u dog
5,1,cum
6,1,remove cum
7,0,aw mah gash its GONE
8,1,shit he removed me from claim but i can do this
9,0,ughhh i suck at building
10,0,haarish its an accident sorry
11,0,love tpa ky shop
12,1,/r you dont have to be a dick
13,1,/r you dont have to be an asshole you know
14,1,sophie he is being an asshole
15,0,if u finish it and make it cool can i pay u 500k?
16,0,if u finish it il pay u 500k
17,0,my phone i worse than trash itself
18,1,ahh shit
19,0,selling Skyscraper
20,0,come to your.casino
21,0,SUSSY tpa
22,0,tpa sussy
23,0,theserver kiked me
24,1,bill you are you you cock sucking pedo
25,0,Imma finish it up tho
26,0,Ima finish it up tho
27,0,Ima finish it
28,0,/heads search duck
29,0,im broke ass hell
30,0,builders.co
31,0,/r and no its not a skyscraper
32,1,what the fuck you have summer!!!!!!
33,1,screw off nigger
34,1,/r i feel u dont like me and shit ;/
35,1,/msg CalvinChris i feel u dont like me and shit ;/
36,1,/msg zemha shit
37,1,/msg zemha fuck why humpy so hot
38,0,"u want it to be eye catching, not piss people off! :D"
39,0,how much 0 are in 1mill
40,0,r https://www.htmlcsscolor.com/color-names-rgb-values/a
41,0,r htmlcsscolorl.com
42,1,/r fuck you
43,1,/r piss off
44,0,which warp is selling enchanted books?
45,0,Which shop is selling books(eff5 sharp5)?
46,0,yeah this is cool
47,0,/r bigger then the area u built last time
48,0,so its not gonna be kike that
49,0,your base is cool
50,0,your house is cool
51,0,if u wanna sell your vote keys do kyshopz for the best price
52,0,cosmos.mc is the best server ever
53,0,/home nwfarm
54,0,what is the best xp farm?
55,1,i fucked up mining a sheep spawner thinking i would get it
56,0,Buying700 Coins For 20M
57,0,Buying 700 Coins For 20M
58,0,seling 50 coins for 3 mil
59,0,for 20M
60,0,seling 50 coins for 3m
61,0,for 20m
62,0,seling 50 coins for 3000
63,0,Buying 700 Coins for 30m
64,0,s a l i n g 5 0 c o i n s f o r 3 m
65,0,/msg Satellite0_0 i have some for you
66,0,how do you get royal tag
